Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,1.0,1000.0,20,994,993,0,21798.197266,0.000000
2,20,0.0,1.0,1000.0,20,957,957,0,20597.669922,0.000000
3,20,0.0,1.0,1000.0,20,935,935,0,19891.501953,0.000000
4,20,0.0,1.0,1000.0,20,845,845,0,18282.718750,0.000000
5,20,0.0,1.0,1000.0,20,735,734,0,15512.217773,0.000000
6,20,0.0,1.0,1000.0,20,952,952,0,20872.458984,0.000000
7,20,0.0,1.0,1000.0,20,887,887,0,18686.044922,0.000000
8,20,0.0,1.0,1000.0,20,817,816,0,17689.447266,0.000000
9,20,0.0,1.0,1000.0,20,892,892,0,18926.183594,0.000000
10,20,0.0,1.0,1000.0,20,1114,1114,0,24150.574219,0.000000
