Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,1.0,50.0,20,71,70,0,1032.495972,0.000000
2,20,0.0,1.0,50.0,20,66,65,0,918.883484,0.000000
3,20,0.0,1.0,50.0,20,85,84,0,1247.575073,0.000000
4,20,0.0,1.0,50.0,20,69,68,0,965.835693,0.000000
5,20,0.0,1.0,50.0,20,74,73,0,1031.292480,0.000000
6,20,0.0,1.0,50.0,20,75,73,0,1091.175293,0.000000
7,20,0.0,1.0,50.0,20,78,76,0,1096.272095,0.000000
8,20,0.0,1.0,50.0,20,86,84,0,1264.757935,0.000000
9,20,0.0,1.0,50.0,20,58,57,0,742.630615,0.000000
10,20,0.0,1.0,50.0,20,81,80,0,1206.863037,0.000000
