Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,1.0,0.0,1000.0,20,1064,0,0,23209.917969,0.000000
2,20,1.0,0.0,1000.0,20,861,0,0,18677.669922,0.000000
3,20,1.0,0.0,1000.0,20,858,0,0,18351.501953,0.000000
4,20,1.0,0.0,1000.0,20,904,0,0,19462.718750,0.000000
5,20,1.0,0.0,1000.0,20,1036,0,0,21545.847656,0.000000
6,20,1.0,0.0,1000.0,20,1079,0,0,23412.458984,0.000000
7,20,1.0,0.0,1000.0,20,1166,0,0,24266.044922,0.000000
8,20,1.0,0.0,1000.0,20,807,0,0,17500.279297,0.000000
9,20,1.0,0.0,1000.0,20,808,0,0,17246.183594,0.000000
10,20,1.0,0.0,1000.0,20,902,0,0,19910.574219,0.000000
