Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,1.0,0.0,50.0,20,71,0,0,1032.495972,0.000000
2,20,1.0,0.0,50.0,20,67,0,0,936.883484,0.000000
3,20,1.0,0.0,50.0,20,83,0,0,1211.575073,0.000000
4,20,1.0,0.0,50.0,20,66,0,0,915.135925,0.000000
5,20,1.0,0.0,50.0,20,74,0,0,1031.292480,0.000000
6,20,1.0,0.0,50.0,20,84,0,0,1261.622925,0.000000
7,20,1.0,0.0,50.0,20,72,0,0,1001.302246,0.000000
8,20,1.0,0.0,50.0,20,70,0,0,986.013916,0.000000
9,20,1.0,0.0,50.0,20,62,0,0,828.309143,0.000000
10,20,1.0,0.0,50.0,20,69,0,0,993.528687,0.000000
