Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.2,50.0,1000,1573,1572,999,50484.804688,0.019788
2,1000,0.0,0.2,50.0,1000,1598,1597,999,49181.480469,0.020313
3,1000,0.0,0.2,50.0,1000,1595,1594,999,49431.671875,0.020210
4,1000,0.0,0.2,50.0,1000,1562,1561,999,50217.214844,0.019894
5,1000,0.0,0.2,50.0,1000,1540,1540,999,50992.335938,0.019591
6,1000,0.0,0.2,50.0,1000,1579,1578,999,48326.285156,0.020672
7,1000,0.0,0.2,50.0,1000,1575,1574,998,50384.992188,0.019807
8,1000,0.0,0.2,50.0,1000,1586,1585,998,51318.281250,0.019447
9,1000,0.0,0.2,50.0,1000,1603,1602,999,49713.976562,0.020095
10,1000,0.0,0.2,50.0,1000,1583,1582,998,50466.867188,0.019775
