Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.4,50.0,1000,1223,1223,423,50450.425781,0.008384
2,1000,0.0,0.4,50.0,1000,83,83,26,49283.218750,0.000528
3,1000,0.0,0.4,50.0,1000,294,294,104,49672.378906,0.002094
4,1000,0.0,0.4,50.0,1000,155,155,46,51136.281250,0.000900
5,1000,0.0,0.4,50.0,1000,1476,1476,535,50607.347656,0.010572
6,1000,0.0,0.4,50.0,1000,89,89,28,49671.507812,0.000564
7,1000,0.0,0.4,50.0,1000,303,303,96,49621.000000,0.001935
8,1000,0.0,0.4,50.0,1000,1043,1043,363,51207.679688,0.007089
9,1000,0.0,0.4,50.0,1000,303,303,96,50098.105469,0.001916
10,1000,0.0,0.4,50.0,1000,100,100,30,50350.722656,0.000596
