Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.0,50.0,1000,2810,1695,988,50598.269531,0.019526
2,1000,0.4,0.0,50.0,1000,2781,1661,994,49450.171875,0.020101
3,1000,0.4,0.0,50.0,1000,2709,1632,997,49725.863281,0.020050
4,1000,0.4,0.0,50.0,1000,2640,1628,998,49761.847656,0.020056
5,1000,0.4,0.0,50.0,1000,2772,1647,989,48688.132812,0.020313
6,1000,0.4,0.0,50.0,1000,2664,1603,995,50127.777344,0.019849
7,1000,0.4,0.0,50.0,1000,2724,1608,996,48780.550781,0.020418
8,1000,0.4,0.0,50.0,1000,2678,1639,989,48297.488281,0.020477
9,1000,0.4,0.0,50.0,1000,2788,1656,991,49192.472656,0.020145
10,1000,0.4,0.0,50.0,1000,2779,1683,989,49837.429688,0.019845
