Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.0,50.0,1000,2776,600,13,49902.496094,0.000261
2,1000,0.8,0.0,50.0,1000,2890,602,33,51930.882812,0.000635
3,1000,0.8,0.0,50.0,1000,2863,567,21,51420.210938,0.000408
4,1000,0.8,0.0,50.0,1000,2758,559,22,49471.843750,0.000445
5,1000,0.8,0.0,50.0,1000,2791,548,31,50117.292969,0.000619
6,1000,0.8,0.0,50.0,1000,311,67,8,50323.304688,0.000159
7,1000,0.8,0.0,50.0,1000,2839,530,28,51039.164062,0.000549
8,1000,0.8,0.0,50.0,1000,2746,571,9,49328.773438,0.000182
9,1000,0.8,0.0,50.0,1000,2799,531,10,50265.734375,0.000199
10,1000,0.8,0.0,50.0,1000,2810,531,17,50511.531250,0.000337
