Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.0,1000.0,20,20,19,19,18347.736328,0.001036
2,20,0.0,0.0,1000.0,20,20,19,19,17585.083984,0.001080
3,20,0.0,0.0,1000.0,20,20,19,19,18866.976562,0.001007
4,20,0.0,0.0,1000.0,20,20,19,19,20009.027344,0.000950
5,20,0.0,0.0,1000.0,20,20,19,19,18487.535156,0.001028
6,20,0.0,0.0,1000.0,20,20,19,19,25036.552734,0.000759
7,20,0.0,0.0,1000.0,20,20,19,19,20782.306641,0.000914
8,20,0.0,0.0,1000.0,20,20,19,19,18402.863281,0.001032
9,20,0.0,0.0,1000.0,20,20,19,19,21344.121094,0.000890
10,20,0.0,0.0,1000.0,20,20,19,19,19603.330078,0.000969
