Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.0,50.0,20,22,21,19,1004.653931,0.018912
2,20,0.0,0.0,50.0,20,21,19,18,901.862671,0.019959
3,20,0.0,0.0,50.0,20,21,20,19,991.573181,0.019161
4,20,0.0,0.0,50.0,20,21,20,19,1122.289551,0.016930
5,20,0.0,0.0,50.0,20,21,20,19,878.061646,0.021639
6,20,0.0,0.0,50.0,20,23,22,19,1361.950928,0.013951
7,20,0.0,0.0,50.0,20,22,21,19,960.279846,0.019786
8,20,0.0,0.0,50.0,20,22,21,19,975.695557,0.019473
9,20,0.0,0.0,50.0,20,24,23,19,996.274658,0.019071
10,20,0.0,0.0,50.0,20,21,20,19,1086.012573,0.017495
