Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2836,630,11,49362.496094,0.000223
2,1000,0.8,0.2,50.0,1000,2950,621,20,51390.882812,0.000389
3,1000,0.8,0.2,50.0,1000,2882,572,14,50153.574219,0.000279
4,1000,0.8,0.2,50.0,1000,2826,598,40,49148.429688,0.000814
5,1000,0.8,0.2,50.0,1000,2815,593,13,48922.429688,0.000266
6,1000,0.8,0.2,50.0,1000,2868,631,20,49864.554688,0.000401
7,1000,0.8,0.2,50.0,1000,2885,559,8,50195.304688,0.000159
8,1000,0.8,0.2,50.0,1000,2901,578,13,50498.773438,0.000257
9,1000,0.8,0.2,50.0,1000,2839,537,17,49367.308594,0.000344
10,1000,0.8,0.2,50.0,1000,2817,566,8,49017.531250,0.000163
