Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2943,1192,106,52120.015625,0.002034
2,1000,0.6,0.2,50.0,1000,2858,1140,25,50609.117188,0.000494
3,1000,0.6,0.2,50.0,1000,642,259,9,49824.023438,0.000181
4,1000,0.6,0.2,50.0,1000,2813,1164,70,49704.710938,0.001408
5,1000,0.6,0.2,50.0,1000,2647,1072,31,51420.363281,0.000603
6,1000,0.6,0.2,50.0,1000,1028,410,85,50757.167969,0.001675
7,1000,0.6,0.2,50.0,1000,270,106,19,48658.882812,0.000390
8,1000,0.6,0.2,50.0,1000,2853,1131,55,50357.171875,0.001092
9,1000,0.6,0.2,50.0,1000,2810,1058,99,49667.382812,0.001993
10,1000,0.6,0.2,50.0,1000,1008,403,20,50651.644531,0.000395
